ZELAR+ — RANKING REAL DE PARIDADE WEB → EXPO

01. enfermagem.tsx -> enfermagem.tsx | WEB=1421 EXPO=16 GAP=1405 RATIO=88.8x
19. ferias.tsx -> ferias.tsx | WEB=399 EXPO=24 GAP=375 RATIO=16.6x
20. permissoes-rbac.tsx -> permissoes-rbac.tsx | WEB=395 EXPO=22 GAP=373 RATIO=18.0x
21. afastamentos.tsx -> afastamentos.tsx | WEB=394 EXPO=25 GAP=369 RATIO=15.8x
22. folha-pagamento.tsx -> folha-pagamento.tsx | WEB=385 EXPO=25 GAP=360 RATIO=15.4x
23. profissionais.tsx -> profissionais.tsx | WEB=365 EXPO=8 GAP=357 RATIO=45.6x
24. notificacoes-tempo-real.tsx -> notificacoes-tempo-real.tsx | WEB=357 EXPO=16 GAP=341 RATIO=22.3x
25. folha-pagamento_.novo.tsx -> folha-pagamento-novo.tsx | WEB=350 EXPO=25 GAP=325 RATIO=14.0x
26. mensagens.tsx -> mensagens.tsx | WEB=338 EXPO=13 GAP=325 RATIO=26.0x
27. funil-vendas.tsx -> funil-vendas.tsx | WEB=345 EXPO=22 GAP=323 RATIO=15.7x
28. cliente-historico.tsx -> cliente-historico.tsx | WEB=431 EXPO=114 GAP=317 RATIO=3.8x
29. grupos-permissoes.tsx -> grupos-permissoes.tsx | WEB=336 EXPO=20 GAP=316 RATIO=16.8x
30. afastamentos_.novo.tsx -> afastamentos-novo.tsx | WEB=337 EXPO=25 GAP=312 RATIO=13.5x
31. ferias_.novo.tsx -> ferias-novo.tsx | WEB=330 EXPO=24 GAP=306 RATIO=13.8x
32. perfis.tsx -> perfis.tsx | WEB=314 EXPO=12 GAP=302 RATIO=26.2x
33. banco-horas_.novo.tsx -> banco-horas-novo.tsx | WEB=320 EXPO=24 GAP=296 RATIO=13.3x
34. dashboard-profissional.tsx -> dashboard-profissional.tsx | WEB=357 EXPO=63 GAP=294 RATIO=5.7x
35. prontuario.tsx -> prontuario.tsx | WEB=308 EXPO=15 GAP=293 RATIO=20.5x
36. avaliacoes-funcionarios_.novo.tsx -> avaliacoes-funcionarios-novo.tsx | WEB=315 EXPO=25 GAP=290 RATIO=12.6x
37. portal-cliente.tsx -> portal-cliente.tsx | WEB=352 EXPO=63 GAP=289 RATIO=5.6x
38. dashboard-cliente.tsx -> dashboard-cliente.tsx | WEB=348 EXPO=70 GAP=278 RATIO=5.0x
39. avaliacoes-funcionarios.tsx -> avaliacoes-funcionarios.tsx | WEB=298 EXPO=25 GAP=273 RATIO=11.9x
40. banco-horas.tsx -> banco-horas.tsx | WEB=296 EXPO=24 GAP=272 RATIO=12.3x
41. escalas_.novo.tsx -> escalas-novo.tsx | WEB=292 EXPO=23 GAP=269 RATIO=12.7x
42. meus-contratos.tsx -> meus-contratos.tsx | WEB=278 EXPO=22 GAP=256 RATIO=12.6x
43. meus-pagamentos.tsx -> meus-pagamentos.tsx | WEB=257 EXPO=22 GAP=235 RATIO=11.7x
44. usuarios.index.tsx -> usuarios.tsx | WEB=248 EXPO=16 GAP=232 RATIO=15.5x
45. atendimentos.tsx -> atendimentos.tsx | WEB=253 EXPO=27 GAP=226 RATIO=9.4x
46. mapa.tsx -> mapa.tsx | WEB=223 EXPO=5 GAP=218 RATIO=44.6x
47. escalas.tsx -> escalas.tsx | WEB=236 EXPO=23 GAP=213 RATIO=10.3x
48. clientes.tsx -> clientes.tsx | WEB=241 EXPO=29 GAP=212 RATIO=8.3x
49. aprovacoes.tsx -> aprovacoes.tsx | WEB=234 EXPO=22 GAP=212 RATIO=10.6x
50. meus-atendimentos.tsx -> meus-atendimentos.tsx | WEB=211 EXPO=22 GAP=189 RATIO=9.6x
51. teleconsulta.tsx -> teleconsulta.tsx | WEB=461 EXPO=275 GAP=186 RATIO=1.7x
52. fila.tsx -> fila.tsx | WEB=203 EXPO=18 GAP=185 RATIO=11.3x
53. monitoramento.tsx -> monitoramento.tsx | WEB=200 EXPO=15 GAP=185 RATIO=13.3x
54. avaliacoes.tsx -> avaliacoes.tsx | WEB=198 EXPO=17 GAP=181 RATIO=11.6x
55. perfil.tsx -> perfil.tsx | WEB=235 EXPO=56 GAP=179 RATIO=4.2x
56. chamados.tsx -> chamados.tsx | WEB=193 EXPO=23 GAP=170 RATIO=8.4x
57. api.tsx -> api.tsx | WEB=184 EXPO=15 GAP=169 RATIO=12.3x
58. suporte.tsx -> suporte.tsx | WEB=183 EXPO=15 GAP=168 RATIO=12.2x
59. faturas.tsx -> faturas.tsx | WEB=190 EXPO=23 GAP=167 RATIO=8.3x
60. especialidades.tsx -> especialidades.tsx | WEB=190 EXPO=23 GAP=167 RATIO=8.3x
61. logs-api.tsx -> logs-api.tsx | WEB=182 EXPO=15 GAP=167 RATIO=12.1x
62. integracoes.tsx -> integracoes.tsx | WEB=181 EXPO=15 GAP=166 RATIO=12.1x
63. pagamentos.tsx -> pagamentos.tsx | WEB=187 EXPO=26 GAP=161 RATIO=7.2x
64. categorias.tsx -> categorias.tsx | WEB=179 EXPO=26 GAP=153 RATIO=6.9x
65. backups.tsx -> backups.tsx | WEB=165 EXPO=14 GAP=151 RATIO=11.8x
66. cupons.tsx -> cupons.tsx | WEB=172 EXPO=26 GAP=146 RATIO=6.6x
67. assinaturas.tsx -> assinaturas.tsx | WEB=164 EXPO=23 GAP=141 RATIO=7.1x
68. comissoes.tsx -> comissoes.tsx | WEB=162 EXPO=23 GAP=139 RATIO=7.0x
69. analytics.tsx -> analytics.tsx | WEB=152 EXPO=15 GAP=137 RATIO=10.1x
70. inicio.tsx -> inicio.tsx | WEB=543 EXPO=409 GAP=134 RATIO=1.3x
71. chat-ia.tsx -> chat-ia.tsx | WEB=230 EXPO=96 GAP=134 RATIO=2.4x
72. assistente-ia.tsx -> assistente-ia.tsx | WEB=253 EXPO=124 GAP=129 RATIO=2.0x
73. convenios.tsx -> convenios.tsx | WEB=153 EXPO=25 GAP=128 RATIO=6.1x
74. financeiro.tsx -> financeiro.tsx | WEB=635 EXPO=508 GAP=127 RATIO=1.2x
75. seguranca.tsx -> seguranca.tsx | WEB=167 EXPO=56 GAP=111 RATIO=3.0x
76. status-sistema.tsx -> status-sistema.tsx | WEB=183 EXPO=76 GAP=107 RATIO=2.4x
77. planos.tsx -> planos.tsx | WEB=131 EXPO=24 GAP=107 RATIO=5.5x
78. minha-conta.tsx -> minha-conta.tsx | WEB=168 EXPO=81 GAP=87 RATIO=2.1x
79. usuarios.tsx -> usuarios.tsx | WEB=82 EXPO=16 GAP=66 RATIO=5.1x
80. profissionais-admin.tsx -> profissionais-admin.tsx | WEB=90 EXPO=42 GAP=48 RATIO=2.1x
81. upload-documentos.tsx -> upload-documentos.tsx | WEB=353 EXPO=330 GAP=23 RATIO=1.1x
82. route.tsx -> AUSENTE | WEB=12 EXPO=0 GAP=12 RATIO=999x
83. chamadas.tsx -> chamadas.tsx | WEB=601 EXPO=788 GAP=0 RATIO=0.8x
84. chat.tsx -> chat.tsx | WEB=518 EXPO=536 GAP=0 RATIO=1.0x
85. agenda.tsx -> agenda.tsx | WEB=372 EXPO=413 GAP=0 RATIO=0.9x
86. chamadas.$callId.tsx -> chamada-detalhe.tsx | WEB=270 EXPO=631 GAP=0 RATIO=0.4x
87. meus-documentos.tsx -> meus-documentos.tsx | WEB=211 EXPO=465 GAP=0 RATIO=0.5x
88. sos.tsx -> sos.tsx | WEB=53 EXPO=127 GAP=0 RATIO=0.4x
89. admin.tsx -> admin.tsx | WEB=18 EXPO=23 GAP=0 RATIO=0.8x
90. contratos.index.tsx -> contratos.tsx | WEB=9 EXPO=28 GAP=0 RATIO=0.3x
91. colaboradores.index.tsx -> colaboradores.tsx | WEB=9 EXPO=28 GAP=0 RATIO=0.3x
92. backup.tsx -> backup.tsx | WEB=9 EXPO=14 GAP=0 RATIO=0.6x
